PC1,contag,site
1.6657716737589017,1.863620056044972,1
-0.3338513836097158,0.9715901554390942,2
-0.8251507683947814,-0.7561820886144335,3
-2.874902308723394,-0.3339530858107858,4
1.7270451167033076,0.13985392159753007,5
-0.11756580825600245,-1.0539182555745354,6
1.5423969637975208,2.164393027825986,7
1.6979503636670152,0.207561820461861,8
1.0411971992548101,-0.4029062524316428,9
0.2132740010308147,-0.3490437754404079,10
-2.1597528731853113,0.8890428831503846,11
-2.0299510984040907,0.9595289978141556,12
1.4596377394482754,-0.7052853044632055,13
0.013230275004753945,-1.2656650879429274,14
-0.11172876728802446,-1.2430450132896635,15
1.4765013055114207,1.066777582333633,16
0.829571287241201,2.0529379272087818,17
-0.5596669321028017,-1.0018650936429123,18
1.3289980011385023,0.25964286152236155,19
1.3289980011385023,0.8222117626869823,20
1.913313329110849,-0.37480409052317254,21
1.913313329110849,0.5853462392453531,22
1.431986690819187,1.2362313721495857,23
0.16298024301511774,0.8266299985460395,24
-3.768367326847047,-0.18635693708010032,25
-2.4727121748890086,-1.0299793769117642,26
-2.1039343326394775,-1.0267369130097128,27
-0.3937895703823958,-0.19097598347614433,28
-0.7814342642938669,0.44593200877218037,29
-0.48361371496310956,-0.42724715621373394,30
-1.4140375249722603,-0.07298666152261953,31
-0.7919418797617572,-1.166016596382651,32
0.49552382366189796,-1.322496086091592,33
0.928222678897737,-1.014634542759477,34
-0.26002485898090016,-0.5217169985736874,35
0.4254558082273984,-0.8877133943861705,36
0.02909613976403587,-0.8031479155939409,37
0.9367525640269054,-0.9225344263541067,38
0.5108441750231941,0.1998712213451451,39
0.21213089839007673,-0.2899311332225989,40
-2.0440311747045663,-0.9587393136322641,41
0.8931932338302798,-0.6435835396679079,42
-1.1606160471884919,2.164393027825986,43
-0.5966008427685853,1.0192323543278894,44
1.1062888107830349,1.0766678043142452,45
